district_code,district_name,block_code,block_name,udise,name,management,category,type
1601,WEST TRIPURA ,160103,DUKLI ,16010300102,PALAN PARA J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300103,SACHINDRALAL VIDYANIKETAN HIGH,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300104,BELABAR H.S,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300109,PURBA CHARIPARA J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300111,BELABAR J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300202,RADHA KISHOREGANJ HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300205,MADHABPUR HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300206,VIDYASAGAR PALLI HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300301,BALLAVPUR J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300302,KASH MADHUPUR COL. HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300303,DURGAPUR HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300304,AMTALI H.S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300306,SAHID KSHUDIRAM VIDYABHABAN HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300310,PASCHIM DURGAPUR  JB SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300401,GABTALI J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300402,RAYERMURA SB SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300403,BRAJENDRA NAGAR S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300404,MATINAGAR H.S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300405,MATINAGAR J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300406,PANDABPUR JB SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300408,PANDABPUR HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300501,PURNA GRAM JB SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300502,CHHANKHOLA HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300503,PM-SHRI-SEKERKOTE H.S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300601,KANCHANMALA S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300602,LAXMICHHARA R.K HS SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300701,HATILETA SB SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300702,JHARJHARIA J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300703,MADHUBAN HRISHIPARA S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300704,MADHUBAN PRITILATA J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300705,PURBA HATILETA JOYKALI COL. J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300706,SURJYAMANI NAGAR HS SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300707,ANANTA ACHARJEE HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300708,MADHUBAN (K) HS SCHOOL.,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300710,RANIRKHAMAR HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300711,NABIN TILLA J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300712,SANDHI SANGHA JB SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010300715,NETAJI NAGAR J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300802,VIVEKANANDA (M) HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300803,SUBHASH NAGAR H.S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010300805,MADHUBAN (DUKLI) H.S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300806,DR. B.R AMBEDKAR HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300809,DASPARA HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010300810,HAPANIA H.S. SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300811,SAMMILITA HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300812,URIYAPARA JB SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160103,DUKLI ,16010300903,SHYAMAPRASAD VIDYA NIKETAN HS SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
